date,name,source,pv,uv
2016-2-28,频道页:hb-fruit,WEB,21788,14952
2016-2-28,频道页:hb-milk,APP,1773,1076
2016-2-28,频道页:hb-milk,WEB,10587,8182
2016-2-28,频道页:hb-snack,APP,2566,1489
2016-2-28,频道页:hb-snack,WEB,12810,9601
2016-2-28,频道页:hd-food,APP,359,210
2016-2-28,频道页:hd-food,WEB,2070,1532
2016-2-28,频道页:hd-fruit,APP,409,218
2016-2-28,频道页:hd-fruit,WEB,3783,2442
2016-2-28,频道页:hd-milk,APP,303,163
2016-2-28,频道页:hd-milk,WEB,1464,1160
2016-2-28,频道页:hd-snack,APP,357,209
2016-2-28,频道页:hd-snack,WEB,2030,1481
2016-2-28,频道页:hn-food,APP,416,233
2016-2-28,频道页:hn-food,WEB,4750,3438
2016-2-28,频道页:hn-fruit,APP,429,233
2016-2-28,频道页:hn-fruit,WEB,7027,4675
2016-2-28,频道页:hn-milk,APP,351,195
2016-2-28,频道页:hn-milk,WEB,3365,2572
2016-2-28,频道页:hn-snack,APP,411,231
2016-2-28,频道页:hn-snack,WEB,4139,3078
2016-2-28,频道页:jsd-hb-food,APP,32,7
2016-2-28,频道页:jsd-hb-snack,APP,9,3
2016-2-28,频道页:jsd-hb-milk,APP,8,3
2016-2-28,频道页:nianhuohb,APP,2,2
2016-2-28,频道页:nianhuohb,WEB,1381,999
2016-2-28,频道页:nianhuohd,WEB,274,201
2016-2-28,频道页:nianhuohn,WEB,652,439
2016-2-28,频道首页,APP,137,62
2016-2-28,频道首页,WEB,118027,45987
